,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
8,2021-10-02,17:00,Ligue 1,Matchweek 9,Sat,Away,D,1,1,Montpellier,0.3,1.1,45.0,9851.0,Alexander Djiku,5-3-2,Hakim Ben El Hadj Salem,Match Report,,6.0,3.0,18.6,0.0,0.0,0.0,2022,Strasbourg
9,2021-10-17,15:00,Ligue 1,Matchweek 10,Sun,Home,W,5,1,Saint-Étienne,2.1,1.0,52.0,25371.0,Dimitri Liénard,5-3-2,Mikael Lesage,Match Report,,12.0,6.0,17.6,0.0,0.0,0.0,2022,Strasbourg
10,2021-10-24,15:00,Ligue 1,Matchweek 11,Sun,Away,L,0,1,Rennes,0.9,1.2,37.0,27185.0,Alexander Djiku,5-3-2,Stéphanie Frappart,Match Report,,8.0,2.0,17.9,1.0,0.0,0.0,2022,Strasbourg
11,2021-10-31,15:00,Ligue 1,Matchweek 12,Sun,Home,W,4,0,Lorient,2.3,1.3,54.0,24002.0,Alexander Djiku,5-3-2,Florent Batta,Match Report,,15.0,6.0,15.1,0.0,0.0,0.0,2022,Strasbourg
12,2021-11-07,15:00,Ligue 1,Matchweek 13,Sun,Away,D,2,2,Nantes,2.1,2.3,53.0,18853.0,Alexander Djiku,5-3-2,Clément Turpin,Match Report,,16.0,6.0,14.7,0.0,0.0,0.0,2022,Strasbourg
13,2021-11-21,15:00,Ligue 1,Matchweek 14,Sun,Home,D,1,1,Reims,1.7,0.9,69.0,24439.0,Dimitri Liénard,5-3-2,Amaury Delerue,Match Report,,20.0,3.0,21.7,2.0,0.0,1.0,2022,Strasbourg
14,2021-11-28,15:00,Ligue 1,Matchweek 15,Sun,Away,D,1,1,Monaco,1.0,2.1,41.0,3478.0,Alexander Djiku,5-3-2,Antony Gautier,Match Report,,6.0,3.0,26.5,0.0,1.0,1.0,2022,Strasbourg
15,2021-12-01,19:00,Ligue 1,Matchweek 16,Wed,Home,W,5,2,Bordeaux,2.8,1.1,50.0,24378.0,Dimitri Liénard,5-3-2,Willy Delajod,Match Report,,18.0,5.0,16.0,0.0,1.0,1.0,2022,Strasbourg
16,2021-12-05,17:00,Ligue 1,Matchweek 17,Sun,Away,W,3,0,Nice,2.6,1.3,40.0,16220.0,Alexander Djiku,5-3-2,Jérémie Pignard,Match Report,,15.0,5.0,18.2,1.0,0.0,0.0,2022,Strasbourg
17,2021-12-12,17:00,Ligue 1,Matchweek 18,Sun,Home,L,0,2,Marseille,1.9,0.7,50.0,26028.0,Alexander Djiku,5-3-2,Mikael Lesage,Match Report,,11.0,3.0,12.1,0.0,0.0,0.0,2022,Strasbourg
20,2022-01-09,15:00,Ligue 1,Matchweek 20,Sun,Away,W,2,0,Metz,2.6,0.3,59.0,5000.0,Dimitri Liénard,5-3-2,Antony Gautier,Match Report,,19.0,7.0,15.4,0.0,0.0,0.0,2022,Strasbourg
21,2022-01-16,15:00,Ligue 1,Matchweek 21,Sun,Home,W,3,1,Montpellier,1.6,0.6,56.0,5217.0,Dimitri Liénard,3-5-2,Pierre Gaillouste,Match Report,,19.0,8.0,16.2,0.0,0.0,0.0,2022,Strasbourg
22,2022-01-19,19:00,Ligue 1,Matchweek 19,Wed,Away,W,2,0,Clermont Foot,1.5,0.6,45.0,4219.0,Adrien Thomasson,3-5-2,Bastien Dechepy,Match Report,,15.0,5.0,16.8,1.0,0.0,0.0,2022,Strasbourg
23,2022-01-23,15:00,Ligue 1,Matchweek 22,Sun,Away,L,3,4,Bordeaux,1.9,1.9,65.0,3308.0,Dimitri Liénard,3-5-2,Mikael Lesage,Match Report,,18.0,6.0,17.8,0.0,0.0,0.0,2022,Strasbourg
24,2022-02-06,15:00,Ligue 1,Matchweek 23,Sun,Home,W,1,0,Nantes,1.4,0.4,51.0,22240.0,Dimitri Liénard,3-5-2,Amaury Delerue,Match Report,,13.0,2.0,12.8,0.0,0.0,0.0,2022,Strasbourg
25,2022-02-13,15:00,Ligue 1,Matchweek 24,Sun,Away,W,1,0,Angers,0.3,0.5,36.0,6521.0,Dimitri Liénard,3-5-2,Pierre Gaillouste,Match Report,,8.0,2.0,19.0,1.0,0.0,0.0,2022,Strasbourg
26,2022-02-20,15:00,Ligue 1,Matchweek 25,Sun,Away,D,2,2,Saint-Étienne,0.8,1.1,49.0,24897.0,Alexander Djiku,3-5-2,Antony Gautier,Match Report,,8.0,4.0,12.9,0.0,0.0,0.0,2022,Strasbourg
27,2022-02-26,17:00,Ligue 1,Matchweek 26,Sat,Home,D,0,0,Nice,0.8,0.2,63.0,25150.0,Alexander Djiku,3-5-2,Stéphanie Frappart,Match Report,,17.0,6.0,17.2,0.0,0.0,0.0,2022,Strasbourg
28,2022-03-06,15:00,Ligue 1,Matchweek 27,Sun,Away,D,1,1,Reims,0.7,0.9,46.0,10405.0,Alexander Djiku,3-5-2,Jérémie Pignard,Match Report,,17.0,6.0,19.4,1.0,0.0,0.0,2022,Strasbourg
29,2022-03-13,15:00,Ligue 1,Matchweek 28,Sun,Home,W,1,0,Monaco,0.8,0.8,45.0,25231.0,Dimitri Liénard,5-3-2,Eric Wattellier,Match Report,,11.0,3.0,14.6,0.0,0.0,0.0,2022,Strasbourg
30,2022-03-20,15:00,Ligue 1,Matchweek 29,Sun,Away,D,0,0,Lorient,1.1,0.3,50.0,9806.0,Dimitri Liénard,3-5-2,Benoît Millot,Match Report,,13.0,4.0,17.0,0.0,0.0,0.0,2022,Strasbourg
31,2022-04-03,13:00,Ligue 1,Matchweek 30,Sun,Home,W,1,0,Lens,2.5,0.9,49.0,26005.0,Dimitri Liénard,3-5-2,François Letexier,Match Report,,11.0,1.0,22.7,0.0,1.0,2.0,2022,Strasbourg
32,2022-04-10,19:00,Ligue 1,Matchweek 31,Sun,Home,D,1,1,Lyon,1.0,1.5,42.0,26073.0,Dimitri Liénard,3-5-2,Clément Turpin,Match Report,,15.0,4.0,16.6,0.0,0.0,0.0,2022,Strasbourg
33,2022-04-17,15:00,Ligue 1,Matchweek 32,Sun,Away,D,1,1,Troyes,1.7,1.7,61.0,10000.0,Dimitri Liénard,3-5-2,Benoît Millot,Match Report,,11.0,2.0,17.7,1.0,1.0,1.0,2022,Strasbourg
34,2022-04-20,21:00,Ligue 1,Matchweek 33,Wed,Home,W,2,1,Rennes,2.4,0.7,38.0,25148.0,Dimitri Liénard,3-5-2,Willy Delajod,Match Report,,13.0,5.0,12.9,0.0,0.0,0.0,2022,Strasbourg
35,2022-04-24,17:05,Ligue 1,Matchweek 34,Sun,Away,L,0,1,Lille,1.0,0.5,54.0,30211.0,Alexander Djiku,5-3-2,Jérémie Pignard,Match Report,,11.0,3.0,17.0,0.0,0.0,0.0,2022,Strasbourg
36,2022-04-29,21:00,Ligue 1,Matchweek 35,Fri,Home,D,3,3,Paris S-G,1.7,2.3,44.0,26052.0,Dimitri Liénard,5-3-2,Ruddy Buquet,Match Report,,14.0,2.0,16.2,0.0,0.0,0.0,2022,Strasbourg
37,2022-05-07,17:00,Ligue 1,Matchweek 36,Sat,Away,W,1,0,Brest,2.2,0.4,54.0,12093.0,Dimitri Liénard,5-3-2,Mikael Lesage,Match Report,,14.0,5.0,17.6,0.0,0.0,0.0,2022,Strasbourg
38,2022-05-14,21:00,Ligue 1,Matchweek 37,Sat,Home,W,1,0,Clermont Foot,0.9,0.7,56.0,25231.0,Dimitri Liénard,5-3-2,Benoît Millot,Match Report,,11.0,6.0,18.5,0.0,0.0,0.0,2022,Strasbourg
39,2022-05-21,21:00,Ligue 1,Matchweek 38,Sat,Away,L,0,4,Marseille,1.1,2.3,40.0,63873.0,Alexander Djiku,5-3-2,Stéphanie Frappart,Match Report,,10.0,4.0,15.6,0.0,0.0,0.0,2022,Strasbourg
0,2021-08-08,13:00,Ligue 1,Matchweek 1,Sun,Away,D,1,1,Rennes,2.1,0.7,41.0,22567.0,Seko Fofana,3-4-1-2,Bastien Dechepy,Match Report,,11.0,6.0,16.5,0.0,0.0,0.0,2022,Lens
1,2021-08-15,17:00,Ligue 1,Matchweek 2,Sun,Home,D,2,2,Saint-Étienne,1.3,0.9,57.0,35541.0,Seko Fofana,3-4-1-2,Amaury Delerue,Match Report,,22.0,7.0,17.6,0.0,0.0,0.0,2022,Lens
2,2021-08-21,17:00,Ligue 1,Matchweek 3,Sat,Away,W,2,0,Monaco,0.5,0.3,29.0,6483.0,Seko Fofana,3-4-1-2,Jérémie Pignard,Match Report,,4.0,2.0,14.3,0.0,0.0,0.0,2022,Lens
3,2021-08-29,15:00,Ligue 1,Matchweek 4,Sun,Home,D,2,2,Lorient,1.3,1.2,54.0,35029.0,Yannick Cahuzac,3-4-1-2,Willy Delajod,Match Report,,19.0,9.0,18.8,3.0,0.0,0.0,2022,Lens
4,2021-09-12,15:00,Ligue 1,Matchweek 5,Sun,Away,W,3,2,Bordeaux,2.5,0.8,44.0,19763.0,Yannick Cahuzac,3-4-1-2,Luís Godinho,Match Report,,12.0,4.0,18.5,0.0,1.0,1.0,2022,Lens
5,2021-09-18,17:00,Ligue 1,Matchweek 6,Sat,Home,W,1,0,Lille,0.6,0.7,46.0,36512.0,Seko Fofana,3-4-1-2,Benoît Millot,Match Report,,13.0,4.0,20.7,0.0,0.0,0.0,2022,Lens
6,2021-09-22,21:00,Ligue 1,Matchweek 7,Wed,Home,L,0,1,Strasbourg,1.5,1.1,59.0,,Yannick Cahuzac,3-4-1-2,Jeremy Stinat,Match Report,,17.0,4.0,15.4,0.0,0.0,0.0,2022,Lens
7,2021-09-26,20:45,Ligue 1,Matchweek 8,Sun,Away,W,3,2,Marseille,2.0,2.0,39.0,50001.0,Seko Fofana,3-4-3,Mikael Lesage,Match Report,,12.0,4.0,20.5,0.0,1.0,1.0,2022,Lens
8,2021-10-01,21:00,Ligue 1,Matchweek 9,Fri,Home,W,2,0,Reims,2.1,0.1,61.0,,Seko Fofana,3-4-1-2,Benoît Bastien,Match Report,,12.0,6.0,15.8,1.0,1.0,1.0,2022,Lens
9,2021-10-17,17:00,Ligue 1,Matchweek 10,Sun,Away,L,0,1,Montpellier,0.9,1.5,50.0,12474.0,Seko Fofana,3-4-1-2,Florent Batta,Match Report,,18.0,5.0,20.5,1.0,0.0,0.0,2022,Lens
10,2021-10-24,15:00,Ligue 1,Matchweek 11,Sun,Home,W,4,1,Metz,1.8,0.8,55.0,35673.0,Seko Fofana,3-4-3,Jérémie Pignard,Match Report,,12.0,5.0,17.0,0.0,0.0,0.0,2022,Lens
11,2021-10-30,21:00,Ligue 1,Matchweek 12,Sat,Away,L,1,2,Lyon,2.1,1.9,46.0,50373.0,Seko Fofana,3-4-1-2,Mikael Lesage,Match Report,,18.0,8.0,17.0,0.0,0.0,0.0,2022,Lens
12,2021-11-05,21:00,Ligue 1,Matchweek 13,Fri,Home,W,4,0,Troyes,3.0,0.5,60.0,35706.0,Seko Fofana,3-4-3,Thomas Léonard,Match Report,,23.0,12.0,19.5,1.0,0.0,0.0,2022,Lens
13,2021-11-21,13:00,Ligue 1,Matchweek 14,Sun,Away,L,0,4,Brest,1.5,1.3,64.0,12462.0,Seko Fofana,3-4-1-2,Eric Wattellier,Match Report,,14.0,4.0,22.0,0.0,0.0,0.0,2022,Lens
14,2021-11-26,21:00,Ligue 1,Matchweek 15,Fri,Home,D,2,2,Angers,1.3,1.5,50.0,35713.0,Seko Fofana,3-4-1-2,Florent Batta,Match Report,,9.0,4.0,14.4,0.0,0.0,0.0,2022,Lens
15,2021-12-01,21:00,Ligue 1,Matchweek 16,Wed,Away,D,2,2,Clermont Foot,0.7,1.7,47.0,11948.0,Yannick Cahuzac,3-5-2,Amaury Delerue,Match Report,,9.0,2.0,18.4,0.0,0.0,0.0,2022,Lens
16,2021-12-04,21:00,Ligue 1,Matchweek 17,Sat,Home,D,1,1,Paris S-G,1.1,1.9,36.0,36685.0,Seko Fofana,3-4-3,François Letexier,Match Report,,18.0,7.0,21.0,1.0,0.0,0.0,2022,Lens
17,2021-12-10,21:00,Ligue 1,Matchweek 18,Fri,Away,L,2,3,Nantes,1.0,1.4,59.0,21890.0,Yannick Cahuzac,3-4-3,Stéphanie Frappart,Match Report,,4.0,2.0,15.3,0.0,0.0,0.0,2022,Lens
19,2021-12-22,21:00,Ligue 1,Matchweek 19,Wed,Away,L,1,2,Nice,1.0,0.9,45.0,22065.0,Yannick Cahuzac,5-3-2,Jérôme Brisard,Match Report,,8.0,3.0,13.1,0.0,0.0,0.0,2022,Lens
21,2022-01-08,21:00,Ligue 1,Matchweek 20,Sat,Home,W,1,0,Rennes,0.8,0.5,57.0,5000.0,Seko Fofana,3-4-3,Benoît Bastien,Match Report,,11.0,4.0,19.2,0.0,0.0,0.0,2022,Lens
22,2022-01-15,17:00,Ligue 1,Matchweek 21,Sat,Away,W,2,1,Saint-Étienne,0.9,1.3,60.0,5000.0,Seko Fofana,3-4-3,François Letexier,Match Report,,15.0,4.0,17.3,0.0,0.0,0.0,2022,Lens
23,2022-01-22,21:00,Ligue 1,Matchweek 22,Sat,Home,L,0,2,Marseille,0.8,1.3,48.0,5000.0,Seko Fofana,3-4-3,Stéphanie Frappart,Match Report,,9.0,3.0,18.5,0.0,0.0,0.0,2022,Lens
25,2022-02-06,13:00,Ligue 1,Matchweek 23,Sun,Away,L,0,2,Lorient,0.4,1.5,64.0,10687.0,Seko Fofana,3-4-3,Romain Lissorgue,Match Report,,8.0,0.0,22.8,0.0,0.0,0.0,2022,Lens
26,2022-02-13,17:05,Ligue 1,Matchweek 24,Sun,Home,W,3,2,Bordeaux,2.1,0.9,44.0,32662.0,Seko Fofana,3-4-1-2,François Letexier,Match Report,,8.0,6.0,14.6,0.0,1.0,1.0,2022,Lens
27,2022-02-19,17:00,Ligue 1,Matchweek 25,Sat,Home,D,1,1,Lyon,1.2,1.4,37.0,36624.0,Seko Fofana,3-5-1-1,Jérôme Brisard,Match Report,,13.0,6.0,20.3,0.0,0.0,0.0,2022,Lens
28,2022-02-27,15:00,Ligue 1,Matchweek 26,Sun,Away,W,2,1,Angers,0.6,0.6,53.0,9499.0,Seko Fofana,3-5-1-1,Thomas Léonard,Match Report,,8.0,2.0,23.6,1.0,0.0,0.0,2022,Lens
29,2022-03-05,17:00,Ligue 1,Matchweek 27,Sat,Home,L,0,1,Brest,2.0,0.5,64.0,36305.0,Seko Fofana,3-4-1-2,Johan Hamel,Match Report,,20.0,5.0,17.6,1.0,0.0,0.0,2022,Lens
30,2022-03-13,15:00,Ligue 1,Matchweek 28,Sun,Away,D,0,0,Metz,0.5,0.7,51.0,15687.0,Seko Fofana,3-4-1-2,Amaury Delerue,Match Report,,11.0,0.0,20.7,0.0,0.0,0.0,2022,Lens
31,2022-03-19,17:00,Ligue 1,Matchweek 29,Sat,Home,W,3,1,Clermont Foot,1.2,1.4,60.0,36182.0,Seko Fofana,3-4-1-2,Jeremy Stinat,Match Report,,20.0,7.0,16.9,0.0,0.0,0.0,2022,Lens
32,2022-04-03,13:00,Ligue 1,Matchweek 30,Sun,Away,L,0,1,Strasbourg,0.9,2.5,51.0,26005.0,Seko Fofana,3-4-1-2,François Letexier,Match Report,,13.0,2.0,19.1,0.0,0.0,0.0,2022,Lens
33,2022-04-10,17:05,Ligue 1,Matchweek 31,Sun,Home,W,3,0,Nice,0.9,1.4,42.0,36668.0,Seko Fofana,3-1-4-2,Willy Delajod,Match Report,,6.0,3.0,19.1,0.0,0.0,0.0,2022,Lens
34,2022-04-16,21:00,Ligue 1,Matchweek 32,Sat,Away,W,2,1,Lille,1.2,0.8,44.0,48169.0,Seko Fofana,3-1-4-2,Jérôme Brisard,Match Report,,11.0,7.0,16.5,0.0,0.0,0.0,2022,Lens
35,2022-04-20,21:00,Ligue 1,Matchweek 33,Wed,Home,W,2,0,Montpellier,1.4,0.7,49.0,36250.0,Seko Fofana,3-4-1-2,Romain Lissorgue,Match Report,,12.0,5.0,19.4,0.0,0.0,0.0,2022,Lens
36,2022-04-23,21:00,Ligue 1,Matchweek 34,Sat,Away,D,1,1,Paris S-G,0.8,2.0,34.0,47000.0,Seko Fofana,3-4-3,Amaury Delerue,Match Report,,8.0,3.0,21.7,0.0,0.0,0.0,2022,Lens
37,2022-04-30,17:00,Ligue 1,Matchweek 35,Sat,Home,D,2,2,Nantes,2.3,1.4,53.0,36727.0,Seko Fofana,3-4-3,Thomas Léonard,Match Report,,19.0,4.0,20.9,2.0,1.0,1.0,2022,Lens
38,2022-05-08,15:00,Ligue 1,Matchweek 36,Sun,Away,W,2,1,Reims,1.8,0.5,61.0,16962.0,Seko Fofana,3-4-3,Vitor Ferreira Fernandes,Match Report,,21.0,5.0,17.8,1.0,0.0,0.0,2022,Lens
39,2022-05-14,21:00,Ligue 1,Matchweek 37,Sat,Away,W,3,1,Troyes,0.8,0.3,52.0,19000.0,Seko Fofana,3-4-3,François Letexier,Match Report,,15.0,9.0,18.2,2.0,0.0,0.0,2022,Lens
40,2022-05-21,21:00,Ligue 1,Matchweek 38,Sat,Home,D,2,2,Monaco,1.6,1.4,60.0,37764.0,Seko Fofana,3-4-3,Benoît Bastien,Match Report,,28.0,10.0,19.3,0.0,0.0,0.0,2022,Lens
0,2021-08-07,17:00,Ligue 1,Matchweek 1,Sat,Home,D,1,1,Brest,1.4,0.8,68.0,29018.0,Leo Dubois,4-3-3,Mikael Lesage,Match Report,,17.0,4.0,16.8,0.0,0.0,0.0,2022,Lyon
1,2021-08-15,13:00,Ligue 1,Matchweek 2,Sun,Away,L,0,3,Angers,0.9,1.8,57.0,6154.0,Leo Dubois,4-3-3,Clément Turpin,Match Report,,8.0,3.0,16.0,0.0,0.0,0.0,2022,Lyon
2,2021-08-22,13:00,Ligue 1,Matchweek 3,Sun,Home,D,3,3,Clermont Foot,3.3,1.4,55.0,34713.0,Leo Dubois,4-2-3-1,Thomas Léonard,Match Report,,20.0,8.0,16.8,0.0,1.0,1.0,2022,Lyon
3,2021-08-27,21:00,Ligue 1,Matchweek 4,Fri,Away,W,1,0,Nantes,1.2,1.4,64.0,23177.0,Leo Dubois,4-2-3-1,Jérôme Brisard,Match Report,,12.0,5.0,15.1,1.0,0.0,0.0,2022,Lyon
4,2021-09-12,20:45,Ligue 1,Matchweek 5,Sun,Home,W,3,1,Strasbourg,1.6,1.6,58.0,33267.0,Moussa Dembélé,4-2-3-1,Ruddy Buquet,Match Report,,14.0,7.0,18.8,1.0,0.0,0.0,2022,Lyon
6,2021-09-19,20:45,Ligue 1,Matchweek 6,Sun,Away,L,1,2,Paris S-G,0.8,2.0,46.0,47611.0,Jason Denayer,4-2-3-1,Clément Turpin,Match Report,,12.0,5.0,22.4,0.0,0.0,0.0,2022,Lyon
7,2021-09-22,21:00,Ligue 1,Matchweek 7,Wed,Home,W,3,1,Troyes,1.8,1.4,68.0,29714.0,Houssem Aouar,4-2-3-1,Stéphanie Frappart,Match Report,,15.0,8.0,14.9,1.0,0.0,0.0,2022,Lyon
8,2021-09-25,21:00,Ligue 1,Matchweek 8,Sat,Home,D,1,1,Lorient,1.3,0.7,53.0,36424.0,Leo Dubois,4-2-3-1,Bastien Dechepy,Match Report,,12.0,2.0,17.5,0.0,0.0,0.0,2022,Lyon
10,2021-10-03,20:45,Ligue 1,Matchweek 9,Sun,Away,D,1,1,Saint-Étienne,1.3,2.3,56.0,33643.0,Leo Dubois,4-2-3-1,François Letexier,Match Report,,15.0,5.0,18.1,1.0,0.0,0.0,2022,Lyon
11,2021-10-16,21:00,Ligue 1,Matchweek 10,Sat,Home,W,2,0,Monaco,2.6,0.6,61.0,50585.0,Leo Dubois,4-2-3-1,Amaury Delerue,Match Report,,13.0,7.0,18.5,0.0,1.0,1.0,2022,Lyon
13,2021-10-24,13:00,Ligue 1,Matchweek 11,Sun,Away,L,2,3,Nice,1.4,2.4,57.0,24519.0,Leo Dubois,4-2-3-1,Jérôme Brisard,Match Report,,13.0,8.0,17.8,0.0,0.0,0.0,2022,Lyon
14,2021-10-30,21:00,Ligue 1,Matchweek 12,Sat,Home,W,2,1,Lens,1.9,2.1,54.0,50373.0,Leo Dubois,4-2-3-1,Mikael Lesage,Match Report,,12.0,3.0,19.2,0.0,1.0,1.0,2022,Lyon
16,2021-11-07,20:45,Ligue 1,Matchweek 13,Sun,Away,L,1,4,Rennes,1.1,3.3,51.0,28222.0,Leo Dubois,4-3-3,Benoît Bastien,Match Report,,5.0,3.0,21.5,1.0,1.0,1.0,2022,Lyon
18,2021-11-28,17:00,Ligue 1,Matchweek 15,Sun,Away,W,1,0,Montpellier,0.9,1.2,56.0,14747.0,Houssem Aouar,4-2-3-1,Thomas Léonard,Match Report,,11.0,3.0,20.3,2.0,0.0,0.0,2022,Lyon
19,2021-12-01,21:00,Ligue 1,Matchweek 16,Wed,Home,L,1,2,Reims,2.6,1.2,62.0,,Houssem Aouar,4-2-3-1,Benoît Millot,Match Report,,14.0,6.0,16.4,0.0,0.0,0.0,2022,Lyon
20,2021-12-05,20:45,Ligue 1,Matchweek 17,Sun,Away,D,2,2,Bordeaux,2.3,2.6,70.0,25210.0,Houssem Aouar,3-4-3,Jérôme Brisard,Match Report,,19.0,5.0,18.4,2.0,0.0,0.0,2022,Lyon
22,2021-12-12,13:00,Ligue 1,Matchweek 18,Sun,Away,D,0,0,Lille,0.4,1.5,50.0,40248.0,Houssem Aouar,3-4-1-2,Amaury Delerue,Match Report,,13.0,2.0,22.2,0.0,0.0,0.0,2022,Lyon
23,2021-12-22,21:00,Ligue 1,Matchweek 19,Wed,Home,D,1,1,Metz,2.3,0.5,75.0,34867.0,Moussa Dembélé,3-4-3,Pierre Gaillouste,Match Report,,19.0,5.0,13.5,1.0,0.0,0.0,2022,Lyon
24,2022-01-09,20:45,Ligue 1,Matchweek 20,Sun,Home,D,1,1,Paris S-G,1.0,1.0,32.0,4977.0,Leo Dubois,3-4-3,François Letexier,Match Report,,11.0,4.0,15.5,0.0,0.0,0.0,2022,Lyon
25,2022-01-16,17:05,Ligue 1,Matchweek 21,Sun,Away,W,1,0,Troyes,2.8,0.4,62.0,4224.0,Leo Dubois,3-4-3,Jérôme Brisard,Match Report,,18.0,7.0,16.0,1.0,1.0,1.0,2022,Lyon
26,2022-01-21,21:00,Ligue 1,Matchweek 22,Fri,Home,W,1,0,Saint-Étienne,1.8,0.3,59.0,5000.0,Leo Dubois,3-4-3,Antony Gautier,Match Report,,10.0,3.0,13.0,0.0,1.0,1.0,2022,Lyon
27,2022-02-01,21:00,Ligue 1,Matchweek 14,Tue,Home,W,2,1,Marseille,1.2,0.4,55.0,,Leo Dubois,3-4-3,Benoît Bastien,Match Report,,12.0,4.0,21.2,0.0,0.0,0.0,2022,Lyon
28,2022-02-05,21:00,Ligue 1,Matchweek 23,Sat,Away,L,0,2,Monaco,1.3,2.3,63.0,6550.0,Leo Dubois,3-4-3,Ruddy Buquet,Match Report,,19.0,4.0,19.1,0.0,0.0,0.0,2022,Lyon
29,2022-02-12,21:00,Ligue 1,Matchweek 24,Sat,Home,W,2,0,Nice,2.4,0.1,60.0,41974.0,Leo Dubois,4-2-3-1,Benoît Millot,Match Report,,11.0,6.0,18.9,0.0,1.0,1.0,2022,Lyon
30,2022-02-19,17:00,Ligue 1,Matchweek 25,Sat,Away,D,1,1,Lens,1.4,1.2,63.0,36624.0,Leo Dubois,4-2-3-1,Jérôme Brisard,Match Report,,10.0,2.0,18.6,0.0,0.0,0.0,2022,Lyon
31,2022-02-27,20:45,Ligue 1,Matchweek 26,Sun,Home,L,0,1,Lille,1.4,0.7,64.0,42647.0,Leo Dubois,4-2-3-1,Clément Turpin,Match Report,,21.0,8.0,18.2,1.0,0.0,0.0,2022,Lyon
32,2022-03-04,21:00,Ligue 1,Matchweek 27,Fri,Away,W,4,1,Lorient,2.1,1.5,62.0,13497.0,Houssem Aouar,4-2-3-1,Romain Lissorgue,Match Report,,15.0,7.0,16.0,1.0,0.0,0.0,2022,Lyon
34,2022-03-13,17:05,Ligue 1,Matchweek 28,Sun,Home,L,2,4,Rennes,1.3,1.5,61.0,46597.0,Leo Dubois,4-2-3-1,Antony Gautier,Match Report,,10.0,1.0,16.8,0.0,1.0,1.0,2022,Lyon
36,2022-03-20,17:05,Ligue 1,Matchweek 29,Sun,Away,D,0,0,Reims,1.5,0.5,63.0,14091.0,Moussa Dembélé,4-2-3-1,Johan Hamel,Match Report,,10.0,2.0,16.8,1.0,0.0,0.0,2022,Lyon
37,2022-04-03,17:05,Ligue 1,Matchweek 30,Sun,Home,W,3,2,Angers,1.7,1.8,61.0,34376.0,Moussa Dembélé,4-2-3-1,Eric Wattellier,Match Report,,15.0,5.0,18.8,0.0,0.0,0.0,2022,Lyon
39,2022-04-10,19:00,Ligue 1,Matchweek 31,Sun,Away,D,1,1,Strasbourg,1.5,1.0,58.0,26073.0,Moussa Dembélé,4-2-3-1,Clément Turpin,Match Report,,13.0,3.0,17.7,0.0,0.0,0.0,2022,Lyon
41,2022-04-17,17:05,Ligue 1,Matchweek 32,Sun,Home,W,6,1,Bordeaux,1.7,2.2,60.0,38713.0,Moussa Dembélé,4-3-3,Florent Batta,Match Report,,15.0,9.0,17.2,0.0,0.0,0.0,2022,Lyon
42,2022-04-20,21:00,Ligue 1,Matchweek 33,Wed,Away,L,1,2,Brest,2.7,1.2,66.0,14028.0,Moussa Dembélé,4-3-3,Jeremy Stinat,Match Report,,18.0,5.0,13.7,0.0,0.0,0.0,2022,Lyon
43,2022-04-23,17:00,Ligue 1,Matchweek 34,Sat,Home,W,5,2,Montpellier,3.6,2.0,52.0,46608.0,Moussa Dembélé,4-3-3,François Letexier,Match Report,,27.0,12.0,16.0,1.0,0.0,0.0,2022,Lyon
44,2022-05-01,20:45,Ligue 1,Matchweek 35,Sun,Away,W,3,0,Marseille,2.4,1.4,38.0,68784.0,Moussa Dembélé,4-2-3-1,Antony Gautier,Match Report,,12.0,5.0,12.8,1.0,0.0,0.0,2022,Lyon
45,2022-05-08,13:00,Ligue 1,Matchweek 36,Sun,Away,L,2,3,Metz,2.0,2.0,64.0,20405.0,Moussa Dembélé,4-2-3-1,Eric Wattellier,Match Report,,17.0,5.0,16.8,2.0,0.0,0.0,2022,Lyon
46,2022-05-14,21:00,Ligue 1,Matchweek 37,Sat,Home,W,3,2,Nantes,2.2,2.0,62.0,54404.0,Moussa Dembélé,4-3-3,Florent Batta,Match Report,,17.0,6.0,14.6,0.0,0.0,0.0,2022,Lyon
47,2022-05-21,21:00,Ligue 1,Matchweek 38,Sat,Away,W,2,1,Clermont Foot,2.0,2.3,55.0,12000.0,Moussa Dembélé,4-1-4-1,Mikael Lesage,Match Report,,21.0,5.0,15.0,0.0,0.0,0.0,2022,Lyon
0,2021-08-06,21:00,Ligue 1,Matchweek 1,Fri,Away,D,1,1,Monaco,0.2,1.5,26.0,7500.0,Alban Lafont,4-1-4-1,Antony Gautier,Match Report,,5.0,1.0,21.2,0.0,0.0,0.0,2022,Nantes
1,2021-08-15,15:00,Ligue 1,Matchweek 2,Sun,Home,W,2,0,Metz,1.7,0.6,36.0,12054.0,Alban Lafont,4-2-3-1,Johan Hamel,Match Report,,11.0,6.0,15.2,0.0,0.0,0.0,2022,Nantes
2,2021-08-22,17:00,Ligue 1,Matchweek 3,Sun,Away,L,0,1,Rennes,0.5,0.9,38.0,27569.0,Alban Lafont,4-4-2,Stéphanie Frappart,Match Report,,4.0,1.0,18.7,0.0,0.0,0.0,2022,Nantes
3,2021-08-27,21:00,Ligue 1,Matchweek 4,Fri,Home,L,0,1,Lyon,1.4,1.2,36.0,23177.0,Alban Lafont,4-2-3-1,Jérôme Brisard,Match Report,,18.0,5.0,19.0,2.0,0.0,0.0,2022,Nantes
